"Wavelength","dog_S","dog_L"
300,0.197897889888789,0.106983675950879
301,0.203350339097861,0.109979946107546
302,0.208750451511282,0.113010909093953
303,0.214087681882603,0.116074849614454
304,0.219351608244283,0.11916996243135
305,0.22453199011081,0.122294353164119
306,0.22961882746476,0.125446039310056
307,0.234602420164711,0.128622951489677
308,0.23947342740146,0.13182293491967
309,0.244222926819372,0.135043751115553
310,0.248842472912976,0.138283079825542
311,0.253324154305313,0.141538521196483
312,0.257660649514011,0.144807598171999
313,0.261845280813796,0.148087759122321
314,0.265872065810016,0.151376380704531
315,0.269735766346885,0.154670770951243
316,0.273431934386373,0.157968172584991
317,0.276956954508985,0.161265766554854
318,0.280308082705903,0.164560675791107
319,0.283483481153016,0.167849969172922
320,0.286482248681026,0.171130665703422
321,0.289304446681896,0.174399738885612
322,0.29195112022017,0.177654121292018
323,0.294424314147908,0.18089070932011
324,0.296727084053848,0.184106368124892
325,0.298863501910657,0.187297936719354
326,0.300838656318476,0.190462233232798
327,0.302658647278084,0.193596060316411
328,0.3043305754626,0.196696210684841
329,0.305862525992371,0.199759472781935
330,0.307263546753338,0.202782636558233
331,0.308543621334309,0.205762499347304
332,0.309713636693017,0.20869587182752
333,0.31078534569428,0.211579584055396
334,0.311771324695758,0.214410491556254
335,0.312684926387512,0.217185481457593
336,0.313540228120546,0.21990147865022
337,0.314351975986639,0.222555451961979
338,0.315135524936845,0.22514442032864
339,0.315906775248909,0.227665458946407
340,0.316682105674478,0.230115705390363
341,0.317478303615198,0.232492365683122
342,0.318312492692649,0.234792720297964
343,0.319202058090422,0.237014130080786
344,0.320164570057617,0.239154042075312
345,0.321217705971515,0.241209995236175
346,0.322379171363333,0.243179626014709
347,0.32366662031472,0.245060673802573
348,0.32509757563416,0.246850986218655
349,0.32668934922174,0.248548524225117
350,0.328458963027913,0.250151367058841
351,0.330423071006969,0.251657716965086
352,0.332597882459118,0.253065903720667
353,0.334999087146287,0.254374388934568
354,0.337641782556195,0.255581770114562
355,0.340540403676898,0.256686784489062
356,0.343708655629945,0.257688312574164
357,0.347159449494533,0.258585381476614
358,0.350904841637686,0.2593771679242
359,0.354955976846428,0.260063001015938
360,0.359323035537322,0.260642364685229
361,0.364015185296495,0.261114899870112
362,0.369040536979418,0.261480406385571
363,0.374406105574292,0.261738844493839
364,0.380117776005853,0.26189033616956
365,0.386180274027865,0.261935166057594
366,0.392597142322466,0.261873782122262
367,0.399370721893036,0.261706795987737
368,0.40650213880435,0.261434982970267
369,0.41399129628972,0.261059281803887
370,0.42183687220964,0.260580794062185
371,0.430036321810434,0.260000783279652
372,0.438585885694765,0.259320673777043
373,0.447480602878863,0.258542049196085
374,0.456714328774357,0.257666650749725
375,0.466279757895907,0.256696375194952
376,0.476168451059969,0.255633272536065
377,0.486370866805254,0.254479543466987
378,0.496876396732361,0.253237536562015
379,0.507673404429017,0.251909745225037
380,0.518749267618931,0.250498804407955
381,0.530090423146759,0.249007487109598
